thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
3,1632729,0,0,3,1,0,1,1,0,0,0,0
4,1632729,0,0,3,1,0,1,1,0,0,0,0
5,1632729,0,0,3,1,0,1,1,0,0,0,0
6,1632729,0,0,3,1,0,1,1,0,0,0,0
7,1632729,0,0,3,1,0,1,1,0,0,0,0
8,1632729,0,0,3,1,0,1,1,0,0,0,0
9,1632729,0,0,3,1,0,1,1,0,0,0,0
10,1632729,0,0,3,1,0,1,1,0,0,0,0
11,1632729,0,0,3,1,0,1,1,0,0,0,0
0,1838585,0,60,34,66,0,132,263,105,44,18,2839
1,1838585,0,0,3,1,0,1,1,0,0,0,0
2,1838585,0,0,3,1,0,1,1,0,0,0,0
3,1838585,0,0,3,1,0,1,1,0,0,0,0
4,1838585,0,0,16,3,0,5,10,15,22,4,323
5,1838585,0,0,3,1,0,1,1,0,0,0,0
6,1838585,0,13,36,2,0,9,17,28,29,9,1023
7,1838585,0,42,20,19,0,40,79,47,43,12,1074
8,1838585,0,18,22,20,0,47,93,40,7,5,689
9,1838585,0,95,36,25,0,65,129,87,26,19,2109
10,1838585,0,0,3,6,0,6,11,0,0,0,2
11,1838585,0,37,22,44,0,95,189,78,5,4,1889
0,2040499,0,1880,52,112,1,261,521,2072,2099,296,59575
1,2040499,0,2492,41,74,3,288,575,1784,1796,357,50327
2,2040499,2,2448,27,64,1,225,450,2075,1874,342,54851
3,2040499,18,2768,27,83,0,270,540,2681,2211,385,66239
4,2040499,0,1961,26,79,2,263,525,2132,1684,310,60195
5,2040499,3,1345,28,151,0,433,866,2079,2116,446,53009
6,2040499,3,2528,105,76,0,185,370,2554,2478,319,73583
7,2040499,0,2713,197,172,3,467,933,2851,2334,376,75861
8,2040499,4,2424,26,128,1,364,728,2324,2053,417,69234
9,2040499,0,845,26,64,0,185,369,1482,1484,249,53264
10,2040499,0,2155,47,115,2,337,674,2153,2362,454,65229
11,2040499,0,2564,26,125,3,377,753,2593,2260,394,73014
0,2245605,0,4985,25,123,3,362,723,4524,4944,718,148875
1,2245605,0,6015,46,104,3,431,861,5050,5620,877,164678
2,2245605,0,5755,24,114,2,373,745,5288,5543,803,158918
3,2245605,0,5895,30,113,1,430,859,6230,6138,884,188148
4,2245605,0,4848,47,89,3,350,699,4977,4652,693,148520
5,2245605,0,3745,42,184,2,557,1113,5313,6329,921,158025
6,2245605,0,4780,44,91,1,271,541,4626,5007,641,169373
7,2245605,1,3927,24,212,3,618,1236,5411,6284,820,166411
8,2245605,0,5777,32,187,5,524,1047,4884,5242,826,162908
9,2245605,0,4588,25,78,1,321,641,4738,5254,761,161290
10,2245605,0,4470,26,131,2,451,901,4581,5470,917,163739
11,2245605,0,5838,24,151,4,508,1015,5777,5878,884,179141
0,2450699,0,8425,36,133,4,445,890,7437,8339,1132,271974
1,2450699,6,8330,34,126,3,526,1052,7920,8947,1317,274053
2,2450699,0,8326,27,130,2,463,925,8312,8850,1146,265133
3,2450699,0,8829,48,123,2,531,1062,8952,9241,1283,303633
4,2450699,0,8123,124,104,3,448,895,8415,8597,1180,277172
5,2450699,0,7018,44,201,3,665,1330,8271,9317,1318,280149
6,2450699,0,10072,26,122,8,380,760,7583,7650,1005,275398
7,2450699,0,7110,30,228,6,711,1422,8491,9433,1199,274316
8,2450699,10,7525,50,197,7,603,1206,7811,8606,1244,271320
9,2450699,1,6955,25,96,2,392,784,7511,8627,1128,264499
10,2450699,1,7304,55,143,6,529,1058,7514,8756,1317,269280
11,2450699,3,7501,27,161,5,567,1134,7844,8288,1192,255468
0,2657981,3,12471,37,140,6,510,1019,10588,11168,1499,386179
1,2657981,0,10197,30,131,5,577,1153,9807,10877,1570,352906
2,2657981,0,11060,50,140,2,538,1075,10936,11412,1493,359714
3,2657981,0,11906,28,128,6,575,1150,11836,12318,1614,414569
4,2657981,0,9339,28,119,3,520,1039,10359,11146,1443,369495
5,2657981,0,11402,50,210,4,734,1467,11951,12502,1698,411784
6,2657981,0,12506,29,132,11,451,901,10352,10322,1329,379354
7,2657981,0,9877,29,247,7,784,1568,11336,12070,1501,378143
8,2657981,0,10453,28,206,8,678,1355,10917,11720,1638,397621
9,2657981,10,10005,28,103,4,449,898,11053,12383,1553,396716
10,2657981,0,11291,41,153,8,600,1199,11059,12405,1699,401035
11,2657981,0,10287,27,180,6,659,1318,11235,11797,1579,370081
0,2863070,10,14459,47,146,6,568,1136,13245,14335,1811,509246
1,2863070,0,13140,25,157,8,644,1287,12336,13063,1831,450428
2,2863070,0,12350,27,146,3,577,1153,12869,13624,1742,425983
3,2863070,0,14562,66,134,7,632,1263,15071,15957,1978,541855
4,2863070,0,11716,26,125,3,557,1114,12555,13494,1675,450886
5,2863070,0,13127,49,215,4,772,1543,14173,14886,1991,507417
6,2863070,0,15124,26,137,13,498,996,13092,13793,1687,484582
7,2863070,0,13860,29,251,9,834,1667,13787,15055,1828,481263
8,2863070,0,13673,59,212,8,733,1466,14141,15088,2014,522857
9,2863070,0,12335,26,110,4,494,987,13691,15099,1810,501415
